latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-11.807,142.0583,313,1,1,8/1/2019,56,Terra,MODIS,48,6.3,297.3,6.6,D,0
-11.7924,142.085,319.3,1,1,8/1/2019,56,Terra,MODIS,71,6.3,297.3,11.3,D,0
-12.8398,132.8744,311.6,3.1,1.7,8/1/2019,57,Terra,MODIS,42,6.3,298.7,23.1,D,0
-14.4306,143.3035,310.1,1.1,1.1,8/1/2019,57,Terra,MODIS,33,6.3,296.1,6.5,D,0
-12.4953,131.4897,310.3,4,1.9,8/1/2019,57,Terra,MODIS,36,6.3,298.8,27.6,D,0
-12.6191,142.1998,314.8,1,1,8/1/2019,57,Terra,MODIS,68,6.3,297.6,9.3,D,0
-14.3655,143.5682,305.4,1.2,1.1,8/1/2019,57,Terra,MODIS,24,6.3,283.9,5.9,D,0
-14.3195,143.5198,322.9,1.2,1.1,8/1/2019,57,Terra,MODIS,79,6.3,290.9,20.4,D,0
-13.1654,141.9715,317.2,1,1,8/1/2019,57,Terra,MODIS,72,6.3,300,9.9,D,0
-11.5473,132.6796,311.5,3.4,1.7,8/1/2019,57,Terra,MODIS,40,6.3,298.7,27.3,D,0
